state,value
Alabama,-18
Alaska,-30
Arkansas,-24
Arizona,-39
California,76
Colorado,22
Connecticut,73
Delaware,41
Florida,-20.5
Georgia,-18
Hawaii,62
Idaho,-19
Illinois,40.5
Indiana,-14.5
Iowa,8
Kansas,-12
Kentucky,-22
Louisiana,-27
Massachusetts,70
Maryland,56
Maine,-20
Michigan,3
Minnesota,12.5
Missouri,-9
Montana,-25
Mississippi,-19.5
North Carolina,-2.5
North Dakota,-3
Nebraska,3
New Hampshire,-7
New Jersey,69
New Mexico,-19
Nevada,-20.5
New York,65.5
Oklahoma,-17
Ohio,-5
Oregon,0.1
Pennsylvania,23
Rhode Island,55
South Carolina,-16
South Dakota,-9
Tennessee,-11
Texas,-3
Utah,-8.5
Virginia,-22.5
Vermont,-17
Washington,33
Wisconsin,6
West Virginia,-15
Wyoming,-28
